INFO  2017-09-30 05:47:51,903 Cards need storing in DB: 31634                                                            =>[main] CardScanner.scan 
DEBUG 2017-09-30 05:47:56,410 Starting MAGE tests                                                                        =>[main] MageTestPlayerBase.init 
DEBUG 2017-09-30 05:47:56,410 Logging level: null                                                                        =>[main] MageTestPlayerBase.init 
INFO  2017-09-30 05:47:56,701 Loading game type: mage.game.TwoPlayerMatch                                                =>[main] MageTestPlayerBase.loadGameType 
INFO  2017-09-30 05:47:56,704 Loading plugin: mage.game.TwoPlayerMatch                                                   =>[main] MageTestPlayerBase.loadPlugin 
DEBUG 2017-09-30 05:47:56,810 Loading deck...                                                                            =>[main] CardTestPlayerAPIImpl.createPlayer 
DEBUG 2017-09-30 05:47:56,882 Done!                                                                                      =>[main] CardTestPlayerAPIImpl.createPlayer 
DEBUG 2017-09-30 05:47:56,888 Loading deck...                                                                            =>[main] CardTestPlayerAPIImpl.createPlayer 
DEBUG 2017-09-30 05:47:56,930 Done!                                                                                      =>[main] CardTestPlayerAPIImpl.createPlayer 
INFO  2017-09-30 05:53:28,304 Cards need storing in DB: 31634                                                            =>[main] CardScanner.scan 
INFO  2017-09-30 05:54:16,026 Cards need storing in DB: 31634                                                            =>[main] CardScanner.scan 
INFO  2017-09-30 05:56:18,180 Cards need storing in DB: 31634                                                            =>[main] CardScanner.scan 
INFO  2017-09-30 05:59:55,180 Cards need storing in DB: 9                                                                =>[main] CardScanner.scan 
INFO  2017-09-30 06:03:05,881 Cards need storing in DB: 31634                                                            =>[main] CardScanner.scan 
INFO  2017-09-30 06:04:08,982 Cards need storing in DB: 31634                                                            =>[main] CardScanner.scan 
INFO  2017-09-30 06:37:05,768 Cards need storing in DB: 31634                                                            =>[main] CardScanner.scan 
INFO  2017-09-30 06:50:47,766 Cards need storing in DB: 31634                                                            =>[main] CardScanner.scan 
DEBUG 2017-09-30 06:51:00,682 Starting MAGE tests                                                                        =>[main] MageTestPlayerBase.init 
DEBUG 2017-09-30 06:51:00,689 Logging level: null                                                                        =>[main] MageTestPlayerBase.init 
INFO  2017-09-30 06:51:01,460 Loading game type: mage.game.TwoPlayerMatch                                                =>[main] MageTestPlayerBase.loadGameType 
INFO  2017-09-30 06:51:01,467 Loading plugin: mage.game.TwoPlayerMatch                                                   =>[main] MageTestPlayerBase.loadPlugin 
INFO  2017-09-30 06:51:07,921 Cards need storing in DB: 9                                                                =>[main] CardScanner.scan 
DEBUG 2017-09-30 06:51:07,936 Starting MAGE tests                                                                        =>[main] MageTestPlayerBase.init 
DEBUG 2017-09-30 06:51:07,936 Logging level: null                                                                        =>[main] MageTestPlayerBase.init 
INFO  2017-09-30 06:51:08,323 Loading game type: mage.game.TwoPlayerMatch                                                =>[main] MageTestPlayerBase.loadGameType 
INFO  2017-09-30 06:51:08,327 Loading plugin: mage.game.TwoPlayerMatch                                                   =>[main] MageTestPlayerBase.loadPlugin 
INFO  2017-09-30 06:52:09,833 Cards need storing in DB: 9                                                                =>[main] CardScanner.scan 
DEBUG 2017-09-30 06:52:09,851 Starting MAGE tests                                                                        =>[main] MageTestPlayerBase.init 
DEBUG 2017-09-30 06:52:09,851 Logging level: null                                                                        =>[main] MageTestPlayerBase.init 
INFO  2017-09-30 06:52:10,237 Loading game type: mage.game.TwoPlayerMatch                                                =>[main] MageTestPlayerBase.loadGameType 
INFO  2017-09-30 06:52:10,240 Loading plugin: mage.game.TwoPlayerMatch                                                   =>[main] MageTestPlayerBase.loadPlugin 
DEBUG 2017-09-30 06:52:10,248 Starting MAGE tests                                                                        =>[main] MageTestPlayerBase.init 
DEBUG 2017-09-30 06:52:10,248 Logging level: null                                                                        =>[main] MageTestPlayerBase.init 
INFO  2017-09-30 06:52:10,248 Loading game type: mage.game.TwoPlayerMatch                                                =>[main] MageTestPlayerBase.loadGameType 
INFO  2017-09-30 06:52:10,249 Loading plugin: mage.game.TwoPlayerMatch                                                   =>[main] MageTestPlayerBase.loadPlugin 
INFO  2017-09-30 06:59:02,113 Cards need storing in DB: 31634                                                            =>[main] CardScanner.scan 
DEBUG 2017-09-30 06:59:08,864 Starting MAGE tests                                                                        =>[main] MageTestPlayerBase.init 
DEBUG 2017-09-30 06:59:08,865 Logging level: null                                                                        =>[main] MageTestPlayerBase.init 
INFO  2017-09-30 06:59:09,339 Loading game type: mage.game.TwoPlayerMatch                                                =>[main] MageTestPlayerBase.loadGameType 
INFO  2017-09-30 06:59:09,342 Loading plugin: mage.game.TwoPlayerMatch                                                   =>[main] MageTestPlayerBase.loadPlugin 
DEBUG 2017-09-30 06:59:09,348 Starting MAGE tests                                                                        =>[main] MageTestPlayerBase.init 
DEBUG 2017-09-30 06:59:09,349 Logging level: null                                                                        =>[main] MageTestPlayerBase.init 
INFO  2017-09-30 06:59:09,349 Loading game type: mage.game.TwoPlayerMatch                                                =>[main] MageTestPlayerBase.loadGameType 
INFO  2017-09-30 06:59:09,349 Loading plugin: mage.game.TwoPlayerMatch                                                   =>[main] MageTestPlayerBase.loadPlugin 
INFO  2017-09-30 07:00:51,719 Cards need storing in DB: 9                                                                =>[main] CardScanner.scan 
INFO  2017-09-30 07:08:08,940 Cards need storing in DB: 9                                                                =>[main] CardScanner.scan 
INFO  2017-09-30 07:08:51,257 Cards need storing in DB: 9                                                                =>[main] CardScanner.scan 
INFO  2017-09-30 07:11:01,484 Cards need storing in DB: 9                                                                =>[main] CardScanner.scan 
DEBUG 2017-09-30 07:11:01,507 Starting MAGE tests                                                                        =>[main] MageTestPlayerBase.init 
DEBUG 2017-09-30 07:11:01,507 Logging level: null                                                                        =>[main] MageTestPlayerBase.init 
INFO  2017-09-30 07:11:01,829 Loading game type: mage.game.TwoPlayerMatch                                                =>[main] MageTestPlayerBase.loadGameType 
INFO  2017-09-30 07:11:01,831 Loading plugin: mage.game.TwoPlayerMatch                                                   =>[main] MageTestPlayerBase.loadPlugin 
DEBUG 2017-09-30 07:11:01,938 Loading deck...                                                                            =>[main] CardTestPlayerAPIImpl.createPlayer 
DEBUG 2017-09-30 07:11:02,006 Done!                                                                                      =>[main] CardTestPlayerAPIImpl.createPlayer 
DEBUG 2017-09-30 07:11:02,012 Loading deck...                                                                            =>[main] CardTestPlayerAPIImpl.createPlayer 
DEBUG 2017-09-30 07:11:02,137 Done!                                                                                      =>[main] CardTestPlayerAPIImpl.createPlayer 
DEBUG 2017-09-30 07:11:02,209 chooseTarget: Benefit:mage.target.TargetPlayer@31c17fd4                                    =>[main] ComputerPlayer.choose 
DEBUG 2017-09-30 07:11:02,211 chooseMulligan                                                                             =>[main] ComputerPlayer.chooseMulligan 
INFO  2017-09-30 07:11:02,241 ======================= Turn: 1 [PlayerA] =========================================        =>[main] ComputerPlayer7.priorityPlay 
DEBUG 2017-09-30 07:11:02,242 Priority -- Step: Upkeep                    ActivePlayer-PlayerA PriorityPlayer-PlayerA    =>[main] ComputerPlayer7.priorityPlay 
DEBUG 2017-09-30 07:11:02,305 Priority -- Step: Precombat Main            ActivePlayer-PlayerA PriorityPlayer-PlayerA    =>[main] ComputerPlayer7.priorityPlay 
INFO  2017-09-30 07:11:02,309 [PlayerA], life = 20                                                                       =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:02,312 -> Hand: [Silvercoat Lion;Akroma's Vengeance;]                                             =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:02,340 -> Permanents: [Plains;Plains;Plains;Fluctuator;]                                          =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:02,371 [PlayerB], life = 20                                                                       =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:02,371 -> Hand: []                                                                                =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:02,372 -> Permanents: []                                                                          =>[main] ComputerPlayer6.printOutState 
INFO  2017-09-30 07:11:02,373 Sim Calculate pre combat actions -----------------------------------------------------     =>[main] ComputerPlayer7.priorityPlay 
DEBUG 2017-09-30 07:11:02,379 Player..: 1925 - Plains[425] Plains[425] Plains[425] Fluctuator[650]                       =>[main] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,379 Opponent: 0 -                                                                              =>[main] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,379 1935 total Score (life:0 permanents:1925 hand:10)                                          =>[main] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,391 maxThink: 18 seconds                                                                       =>[main] ComputerPlayer6.addActionsTimed 
INFO  2017-09-30 07:11:02,406 ADDED ACTIONS (3)  [Cast Silvercoat Lion, Cycling {3} <i>({3},Discard this card: Draw a card.)</i>, Pass] =>[pool-1-thread-1] ComputerPlayer6.simulatePriority 
DEBUG 2017-09-30 07:11:02,452 choose 3                                                                                   =>[pool-1-thread-1] ComputerPlayer.choose 
DEBUG 2017-09-30 07:11:02,473 Player..: 3285 - Plains[405] Plains[405] Plains[425] Fluctuator[650] Silvercoat Lion[1400]  =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,474 Opponent: 0 -                                                                              =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
DEBUG 2017-09-30 07:11:02,474 3290 total Score (life:0 permanents:3285 hand:5)                                           =>[pool-1-thread-1] GameStateEvaluator2.evaluate 
